425195,4,0,No Variant,CptAggro,efaust,micerang,sjdrodge
425190,5,0,No Variant,CptAggro,efaust,lenv11,micerang,sjdrodge
425185,5,23,No Variant,CptAggro,efaust,lenv11,micerang,sjdrodge
425176,5,0,No Variant,CptAggro,efaust,lenv11,micerang,sjdrodge
425170,4,0,No Variant,CptAggro,efaust,lenv11,sjdrodge
425164,3,0,No Variant,CptAggro,efaust,sjdrodge
425156,3,0,No Variant,CptAggro,efaust,sjdrodge
425153,3,24,No Variant,CptAggro,kemurphy,sjdrodge
425141,3,0,No Variant,CptAggro,kemurphy,sjdrodge
425138,3,0,No Variant,CptAggro,kemurphy,sjdrodge
423907,5,0,No Variant,efaust,kemurphy,lenv11,sjdrodge,wjomlex
422685,3,25,No Variant,CptAggro,efaust,sjdrodge
422655,3,25,No Variant,CptAggro,efaust,sjdrodge
422624,3,25,No Variant,CptAggro,efaust,sjdrodge
422591,3,25,No Variant,CptAggro,efaust,sjdrodge
421884,3,24,No Variant,CptAggro,efaust,sjdrodge
421852,4,24,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
421831,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
421825,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
421784,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
